 0.2% Proof Stress (MPa), Tensile Strength (MPa), Elongation (%)
217,312,38
252,451,23
279,482,24
310,463,34
372,571,25
655,810,18
488,601,27
532,666,18
445,517,16
131,234,61
300,520,29
570,720,17
143,221,60
186,471,26
378,470,22
284,484,29
487,622,15
258,449,32
181,447,28
510,612,19
301,421,23
383,475,31
438,514,20
461,634,21
243,304,32
293,389,32
204,484,31
246,556,26
513,660,15
530,630,24
202,424,33
218,471,25
186,443,28
361,452,27
532,666,17
497,609,19
538,690,14
122,211,51
446,529,19
276,417,28
399,530,25
186,316,31
228,507,24
513,660,22
262,387,32
463,537,21
290,480,32
172,273,40
601,748,17
304,420,25
174,281,46
380,446,18
288,387,20
437,567,18
456,605,10
526,659,23
320,480,30
421,558,21
228,440,26
337,465,23
176,338,39
395,573,24
318,393,21
569,697,16
189,572,33
181,398,31
229,330,39
298,367,33
259,478,23
534,666,17
183,368,43
347,437,25
284,435,25
250,367,27
468,586,24
359,436,29
404,573,23
380,520,25
473,587,14
177,571,28
114,199,54
293,534,19
168,376,36
353,455,20
395,520,24
642,786,15
363,522,23
172,427,35
404,548,20
232,474,25
198,388,31
410,607,27
356,468,32
204,353,32
223,483,26
493,558,19
403,566,28
172,372,36
137,227,50
176,349,37
275,490,30
305,530,27
206,317,51
291,462,30
378,532,29
137,209,57
250,310,30
338,424,31
124,214,54
371,505,19
187,546,30
252,338,27
411,551,24
165,309,41
275,460,33
212,297,37
261,454,28
247,566,20
301,419,31
183,315,36
190,404,37
544,644,16
202,534,27
270,460,32
274,431,28
202,482,21
500,616,20
188,459,22
434,545,22
366,485,22
432,602,18
139,254,40
213,311,30
273,533,20
395,588,21
569,731,13
184,485,35
234,330,37
530,600,23
183,561,31
329,464,28
260,450,33
215,304,34
265,450,33
192,435,25
149,256,37
186,330,37
261,542,20
264,464,25
499,632,18
497,593,22
424,534,23
240,420,30
328,409,34
437,570,26
368,425,21
408,512,20
483,618,23
512,637,20
545,647,15
199,526,23
176,297,44
476,604,20
222,434,29
194,315,42
303,479,21
229,419,27
420,530,23
330,519,26
399,575,26
440,590,25
296,439,25
285,470,34
194,276,42
260,415,31
175,394,30
256,458,21
520,653,17
208,402,26
372,650,18
224,464,24
218,300,37
202,509,30
464,593,14
637,736,18
622,775,16
114,231,44
278,557,24
202,486,26
408,614,25
168,454,27
197,553,29
357,562,30
325,460,36
291,483,23
185,509,34
617,761,16
316,457,20
221,411,26
137,213,78
300,498,27
203,320,40
402,509,27
265,378,39
511,599,20
226,530,25
261,418,32
270,482,24
285,427,31
430,506,20
270,497,22
315,475,23
186,457,27
197,512,30
341,509,30
203,330,36
514,612,25
312,452,30
197,413,36
575,720,19
501,630,24
535,690,17
195,472,37
337,427,22
462,554,16
511,664,23
572,714,14
602,733,16
275,596,25
522,631,17
310,530,27
488,655,21
240,451,26
346,495,21
193,299,54
310,592,17
436,614,24
381,525,22
279,391,28
624,750,16
181,428,31
178,349,41
397,551,29
522,632,16
163,310,34
248,321,35
152,226,59
252,456,28
303,459,22
223,468,23
178,524,28
337,396,19
482,602,19
290,677,27
168,283,46
213,480,29
660,820,17
249,333,36
168,281,38
185,574,29
267,414,30
288,479,22
213,455,29
396,496,26
226,556,20
378,614,23
251,502,20
411,533,21
579,727,13
286,355,31
199,335,38
176,444,26
267,370,32
411,498,16
391,580,29
320,478,26
170,296,38
508,612,18
230,310,37
202,343,40
188,256,37
570,670,17
450,540,18
290,450,36
220,317,33
420,599,28
156,306,45
171,371,36
303,408,33
235,303,49
260,463,22
342,490,30
381,561,22
368,430,29
394,530,23
553,695,16
258,520,19
152,302,40
306,420,27
566,701,21
176,373,37
436,566,21
274,423,21
515,680,16
434,542,17
177,375,30
180,434,28
412,616,17
266,454,31
506,626,13
173,319,38
426,533,26
251,522,19
508,640,19
522,638,13
179,345,35
261,407,31
508,644,17
153,253,52
618,752,15
243,439,28
289,443,28
256,442,25
213,477,32
655,810,17
291,369,25
536,645,12
219,330,35
195,493,30
200,328,40
190,282,47
262,333,20
300,440,29
577,729,16
487,600,16
199,432,33
226,434,30
193,276,50
231,552,29
166,431,37
251,343,27
251,456,32
295,470,32
411,585,22
198,443,32
240,313,31
360,459,25
207,462,27
194,458,28
132,205,67
300,380,25
515,629,24
342,432,27
506,569,18
249,435,27
202,301,36
240,517,19
310,460,29
415,544,28
439,557,21
410,513,29
394,478,25
149,258,49
292,422,29
650,790,16
207,367,34
127,229,44
194,422,31
304,469,19
259,330,29
325,405,32
125,219,58
177,444,34
450,623,19
160,276,42
228,449,27
483,625,22
403,466,19
262,341,31
519,6661,11
491,626,13
228,534,26
258,627,30
256,465,25
438,559,26
291,650,22
433,505,19
154,275,48
232,423,28
240,299,41
213,308,37
483,664,18
517,660,20
259,604,34
574,698,20
248,308,37
391,609,18
423,528,20
179,315,35
237,424,24
513,641,19
500,583,17
465,632,26
224,431,25
274,530,20
229,383,29
253,341,38
580,722,15
303,374,30
577,693,20
312,442,28
499,635,18
198,560,27
450,580,26
447,566,25
414,557,23
542,679,18
388,491,30
213,507,27
546,663,17
164,273,35
452,583,24
206,386,36
283,352,22
408,162,18
350,457,27
270,471,21
140,250,44
471,592,15
242,529,20
685,830,17
356,443,27
254,448,22
290,470,32
203,479,23
230,467,32
596,738,15
193,279,54
185,349,30
452,536,17
452,634,19
220,314,42
573,711,19
255,434,24
634,766,16
175,258,47
214,475,28
359,473,30
223,500,25
545,690,18
440,540,13
463,580,19
177,268,39
382,449,18
261,365,33
562,710,13
231,506,34
326,412,25
384,450,15
388,505,27
270,522,21
191,290,40
341,473,23
291,471,24
300,480,31
453,535,19
360,517,24
501,619,18
214,503,29
419,551,21
164,283,46
190,471,35
188,500,32
467,630,28
449,566,16
172,379,38
451,567,24
186,406,27
436,514,17
276,364,29
330,610,25
256,376,37
187,540,30
267,446,25
260,575,21
446,525,19
308,445,20
526,671,14
305,696,22
422,551,24
271,453,22
440,580,15
613,751,16
461,630,23
591,682,17
229,313,39
260,417,23
335,389,17
521,625,20
413,566,28
469,630,25
584,716,13
594,712,18
513,645,18
517,634,16
487,655,25
323,412,22
237,441,27
403,495,27
640,800,18
357,549,24
272,591,19
271,344,29
200,393,28
455,571,28
469,590,14
323,386,25
591,729,15
358,690,17
198,313,30
200,354,28
431,567,24
496,607,16
290,500,32
534,632,15
277,373,34
224,500,29
